crop,rainfall_mm,temperature_c,soil_nitrogen_kg_ha,fertilizer_kg_ha,cultivated_area_ha,yield_t_ha
Wheat,581.0,22.9,95.2,142.8,2.35,3.2
Soybean,913.1,25.8,92.8,121.3,3.55,3.77
Rice,450.7,22.8,49.3,92.0,0.75,2.53
Soybean,488.9,27.7,82.5,157.9,5.23,3.03
Maize,765.8,16.7,104.9,170.3,3.72,2.11
Soybean,579.0,22.7,106.2,132.3,2.78,4.39
Soybean,649.1,16.0,105.5,149.1,3.69,1.0
Wheat,620.6,18.0,85.8,158.5,1.31,2.61
Rice,710.8,29.5,68.1,154.6,4.42,2.46
Rice,903.3,27.6,63.3,136.5,2.61,3.51
Rice,666.3,21.1,91.9,135.9,2.76,3.69
Wheat,765.9,18.0,92.6,133.2,2.41,1.92
Maize,281.0,15.0,110.7,76.6,2.3,1.0
Wheat,641.2,21.8,107.0,139.5,3.83,4.42
Maize,498.2,33.7,82.4,67.5,3.31,1.0
Maize,430.6,25.7,60.1,87.2,3.78,2.84
Soybean,491.9,21.8,78.6,160.6,2.99,3.54
Maize,589.9,25.9,89.3,144.4,3.62,3.43
Rice,814.9,17.8,81.0,167.1,2.5,2.66
Soybean,411.2,22.8,73.4,105.5,5.68,2.1
Rice,655.5,24.4,90.1,74.7,1.12,3.87
Rice,562.8,23.7,74.9,106.6,4.51,3.45
Soybean,591.0,27.2,72.4,118.6,4.64,2.61
Rice,830.5,25.4,91.2,117.8,1.98,4.12
Wheat,746.9,26.7,77.0,154.7,5.68,3.47
Rice,890.7,21.2,89.9,102.4,4.19,3.73
Soybean,622.2,27.6,90.5,127.3,4.17,3.31
Wheat,524.7,30.5,62.2,80.4,3.03,1.16
Rice,609.7,20.1,75.4,130.8,2.74,3.51
Wheat,693.6,20.4,113.8,115.1,2.75,3.04
Maize,681.8,29.3,61.8,88.8,3.47,2.1
Rice,454.8,23.2,42.7,106.7,4.68,3.69
Rice,666.3,29.6,47.8,108.6,3.22,2.76
Wheat,691.1,22.2,85.6,105.5,1.91,3.63
Maize,1100.0,29.8,85.6,177.0,3.99,3.11
Maize,987.8,24.5,82.6,111.6,4.11,3.94
Soybean,496.4,25.0,109.3,106.5,3.79,3.38
Rice,598.3,30.3,40.0,41.6,3.89,1.66
Wheat,386.6,22.6,92.9,83.7,2.67,3.02
Soybean,543.7,20.2,116.2,105.8,1.89,3.02
Maize,706.8,22.2,62.4,91.0,1.96,3.2
Maize,867.1,25.8,77.4,163.4,1.04,3.46
Wheat,518.8,17.7,69.9,109.2,3.28,1.73
Rice,532.3,26.5,67.1,160.1,2.9,3.68
Soybean,263.5,21.8,78.5,117.2,2.47,2.13
Soybean,620.7,28.6,113.5,116.3,0.5,2.89
Rice,458.8,15.0,121.7,111.9,1.5,1.0
Soybean,554.7,20.9,78.3,115.1,4.35,2.98
Soybean,492.2,17.3,123.1,175.2,2.2,2.04
Rice,633.0,20.7,85.7,40.0,3.43,3.57
Soybean,333.6,25.0,120.1,44.9,1.33,3.08
Rice,385.9,23.3,83.1,96.0,4.73,2.72
Wheat,1033.3,23.0,87.6,115.5,2.83,4.57
Maize,418.3,23.4,92.3,139.2,3.35,3.01
Maize,452.6,24.8,140.0,131.6,5.79,3.49
Wheat,980.6,20.0,102.0,101.6,4.82,3.88
Soybean,1100.0,26.8,70.9,150.7,2.63,3.9
Wheat,439.1,26.7,104.4,151.1,2.29,3.65
Soybean,583.7,25.5,77.8,121.4,2.61,3.0
Wheat,711.5,26.2,75.2,148.7,3.61,3.44
Soybean,961.2,25.2,103.2,124.5,2.87,3.97
Soybean,472.4,32.1,85.6,95.3,2.53,1.0
Soybean,605.8,23.7,90.6,139.4,4.76,3.95
Maize,789.9,22.8,85.3,118.9,2.86,4.0
Rice,728.3,21.0,91.7,115.0,5.76,4.24
Maize,582.3,19.9,93.5,166.6,3.11,3.91
Rice,625.9,19.0,46.3,40.0,5.14,1.88
Soybean,402.5,20.4,98.3,65.4,3.43,2.55
Maize,607.1,23.7,65.4,73.5,4.16,2.75
Rice,602.1,25.3,56.2,102.3,2.13,3.06
Maize,691.8,24.2,83.8,106.1,1.98,3.37
Maize,550.0,20.9,86.7,62.2,3.55,2.48
Wheat,734.9,27.6,71.1,80.5,4.19,2.74
Wheat,832.3,27.0,101.6,84.9,3.05,3.64
Wheat,678.0,23.4,58.2,200.0,1.46,3.4
Wheat,713.3,21.4,76.9,178.1,1.37,4.02
Rice,659.6,26.2,73.3,100.6,1.29,3.14
Maize,650.0,24.8,84.1,102.3,0.88,4.47
Maize,520.1,18.2,90.6,74.8,3.13,1.88
Rice,707.0,23.7,64.8,48.2,4.35,3.46
Soybean,632.5,25.0,99.5,110.9,2.98,3.09
Maize,1026.8,20.4,86.3,80.1,0.5,4.25
Wheat,933.2,24.8,47.2,112.0,2.77,4.23
Soybean,719.5,18.2,45.8,59.0,2.8,2.02
Maize,512.6,29.3,84.8,88.3,5.52,1.73
Maize,449.8,29.0,80.6,120.2,1.25,2.39
Maize,864.4,23.0,82.9,127.8,2.53,3.55
Maize,697.3,25.5,84.4,129.6,5.05,4.14
Wheat,736.4,15.0,89.5,68.8,3.54,1.12
Maize,336.0,19.4,104.0,144.9,3.68,2.55
Soybean,816.9,22.8,62.8,87.0,3.14,2.62
Rice,731.8,19.7,61.6,137.2,3.4,2.82
Maize,450.1,26.9,63.1,114.6,3.93,2.98
Wheat,565.1,32.0,90.8,66.8,2.03,1.55
Rice,697.5,19.3,109.9,103.9,4.05,3.61
Rice,659.4,20.7,76.4,127.8,1.35,2.81
Soybean,597.4,24.9,40.0,136.5,3.39,3.22
Wheat,631.4,30.4,50.9,110.1,3.21,2.24
Rice,604.6,19.1,68.3,168.6,2.26,2.34
Rice,677.5,25.0,73.8,150.3,2.97,3.82
Soybean,914.9,31.3,76.8,106.0,2.25,2.12
Soybean,250.0,17.4,85.8,141.3,1.71,1.27
Wheat,607.4,18.9,78.8,182.7,2.58,2.24
Wheat,681.8,22.3,106.0,183.6,1.68,3.95
Soybean,703.3,21.9,71.5,72.0,3.39,3.06
Wheat,583.1,27.3,67.8,82.6,1.62,2.85
Soybean,333.8,25.0,94.6,167.0,3.85,3.0
Rice,709.0,16.9,54.3,78.0,1.58,1.55
Soybean,960.9,26.1,92.8,68.7,2.32,3.78
Rice,373.9,21.7,87.1,98.0,2.25,3.18
Rice,805.5,29.1,82.1,129.7,4.59,3.06
Maize,590.9,21.5,116.8,111.4,3.4,3.33
Wheat,639.0,21.5,72.6,92.2,2.75,3.25
Maize,460.5,26.2,126.2,91.4,3.6,2.62
Maize,589.8,27.1,80.5,90.1,0.5,3.16
Soybean,884.0,25.8,59.5,84.2,2.95,3.49
Soybean,754.9,17.3,86.4,194.9,5.4,2.45
Maize,961.8,26.2,63.5,125.4,3.16,4.16
Rice,861.9,19.9,70.0,146.0,3.08,2.86
Rice,729.0,24.9,92.9,97.9,3.66,3.18
Rice,963.9,18.3,96.1,108.5,4.07,3.35
Soybean,729.0,25.8,72.6,90.0,0.6,3.34
Rice,799.0,20.8,104.7,40.0,0.98,3.58
Wheat,596.6,18.9,108.2,66.8,3.25,2.47
Rice,662.0,26.9,113.7,51.6,2.14,3.71
Wheat,524.5,25.0,95.6,40.0,4.57,3.51
Wheat,828.1,21.5,112.3,73.2,2.62,3.99
Wheat,437.9,29.8,47.4,161.4,0.68,1.89
Soybean,790.8,22.2,78.6,113.4,1.48,2.86
Maize,615.7,24.1,67.7,160.2,0.5,3.81
Maize,860.8,25.1,87.4,129.4,2.72,4.4
Rice,785.2,21.5,73.6,142.4,2.77,4.03
Maize,977.7,25.9,81.7,83.5,2.49,3.57
Wheat,781.5,21.9,122.6,133.3,4.29,4.35
Soybean,367.0,22.4,81.6,140.5,4.44,3.28
Maize,637.9,29.5,93.3,94.8,2.8,3.03
Soybean,439.0,19.8,80.4,134.6,0.5,2.26
Wheat,556.7,15.0,86.5,134.8,3.74,1.0
Rice,922.0,30.4,85.1,95.8,3.67,2.98
Maize,764.8,34.2,94.0,75.7,3.37,1.0
Rice,524.2,22.4,108.3,73.6,4.18,3.07
Rice,467.5,16.3,117.9,118.0,1.6,1.75
Wheat,655.9,22.8,91.2,126.4,5.41,3.91
Rice,431.0,22.9,96.8,87.3,1.85,3.33
Wheat,529.2,23.2,62.0,115.9,3.9,3.32
Rice,706.2,19.5,83.2,135.0,0.98,3.14
Maize,858.0,26.3,103.8,136.6,1.88,4.5
Maize,759.6,26.1,102.3,169.3,4.82,3.64
Maize,250.0,18.0,89.2,159.7,2.69,1.6
Rice,704.8,26.8,102.7,80.0,4.01,3.59
Soybean,663.0,32.2,94.8,173.9,3.28,1.8
Wheat,724.5,24.7,109.0,96.4,2.87,3.37
Rice,940.9,22.7,90.8,151.6,4.64,3.95
Wheat,278.6,23.4,77.9,117.4,2.72,2.22
Rice,543.6,26.5,91.7,100.6,0.86,3.36
Soybean,756.4,17.1,40.0,51.7,2.04,1.02
Rice,365.3,24.7,92.7,109.0,3.66,3.14
Soybean,915.7,22.4,40.0,60.4,3.47,3.56
Rice,716.3,31.4,50.5,148.9,1.12,1.6
Maize,802.4,23.3,94.0,168.1,2.13,4.18
Rice,547.2,30.7,94.6,87.1,2.3,1.88
Rice,796.5,19.6,61.8,125.6,2.56,3.43
Soybean,842.3,26.3,70.8,89.6,1.35,3.61
Soybean,691.9,25.3,112.4,93.0,2.25,3.42
Rice,692.2,20.5,75.3,142.1,2.13,3.38
Soybean,698.7,24.7,129.9,113.7,3.93,4.3
Rice,494.6,28.9,85.0,175.9,3.97,3.04
Maize,623.4,22.7,93.2,98.1,2.83,2.96
Soybean,622.5,17.2,117.3,150.0,2.53,2.49
Rice,719.0,23.9,87.6,118.4,3.17,3.54
Maize,830.0,20.4,65.0,142.9,2.02,3.87
Rice,459.5,22.6,82.8,99.3,1.62,3.63
Wheat,627.5,23.7,84.3,113.3,1.87,3.7
Wheat,916.7,17.2,57.7,111.0,2.24,2.33
Rice,516.2,17.5,79.9,85.7,1.6,1.83
Soybean,502.0,25.9,70.2,138.2,3.19,3.32
Wheat,686.4,21.9,103.5,137.8,3.88,3.68
Rice,802.0,15.0,85.7,135.8,1.1,1.37
Maize,652.1,27.1,79.3,168.8,3.03,3.69
Wheat,889.2,25.1,82.9,165.7,2.74,4.04
Maize,804.2,21.1,89.5,101.9,3.41,3.32
Rice,801.5,18.7,97.3,128.1,2.98,2.79
Soybean,749.7,27.3,65.0,93.2,1.26,2.68
Maize,1069.0,25.4,64.2,115.8,1.49,3.44
Maize,613.1,33.5,107.1,94.0,3.04,1.0
Wheat,289.4,25.7,76.8,171.7,4.23,3.71
Rice,938.8,25.6,56.7,127.7,0.5,4.52
Soybean,567.6,23.3,93.9,107.4,3.41,2.82
Wheat,669.4,27.3,94.3,156.8,4.43,3.82
Soybean,885.7,26.5,54.4,40.0,2.82,3.67
Rice,361.6,29.0,89.6,44.5,3.66,1.96
Maize,424.7,21.9,99.7,142.9,2.16,3.27
Maize,361.8,22.3,92.5,117.1,2.86,2.3
Rice,507.1,22.1,97.6,123.8,1.05,3.6
Rice,729.1,27.2,56.9,68.6,0.5,2.77
Maize,744.4,30.0,91.6,114.2,4.13,2.59
Wheat,699.7,22.2,78.9,185.1,1.82,3.32
Maize,395.7,22.3,75.3,143.8,2.45,3.23
Wheat,250.0,25.3,102.4,120.9,1.34,3.41
Maize,659.8,23.0,114.6,99.6,1.31,3.44
Maize,565.1,27.8,120.9,101.2,2.79,2.73
Wheat,732.7,15.0,111.3,40.5,2.12,1.0
Soybean,776.4,20.7,82.8,124.0,3.45,3.28
Rice,674.9,20.9,92.1,144.6,3.54,3.43
Soybean,786.8,15.0,100.3,59.9,3.39,1.0
Wheat,691.3,20.1,87.4,91.9,3.29,3.3
Wheat,745.4,20.3,87.6,74.5,4.89,3.06
Rice,523.2,23.2,101.5,81.2,1.72,3.13
Wheat,617.7,28.5,83.8,116.9,2.93,2.71
Rice,685.4,23.0,70.4,42.0,4.36,3.76
Maize,797.7,19.9,76.7,136.5,4.52,3.46
Wheat,579.1,23.8,97.7,141.4,1.29,3.69
Maize,743.8,28.2,85.1,106.2,2.63,3.29
Wheat,602.1,20.1,91.8,40.0,4.63,2.39
Wheat,628.8,20.4,98.4,80.1,3.61,3.14
Maize,799.3,26.2,77.5,158.2,3.23,3.82
Soybean,291.2,23.1,100.1,40.0,2.74,2.49
Wheat,416.6,26.6,92.6,102.8,2.54,3.17
Rice,383.2,23.9,60.3,73.7,3.35,2.64
Soybean,250.0,26.8,113.8,143.2,2.7,3.04
Soybean,527.9,19.9,75.0,91.4,2.95,2.71
Maize,784.9,24.0,51.9,129.1,3.09,2.57
Rice,598.7,23.2,64.1,134.8,2.19,3.97
Rice,685.6,19.1,64.6,179.3,3.64,2.02
Maize,846.1,17.7,86.0,107.9,6.5,2.31
Maize,889.0,26.7,79.5,128.2,0.87,4.09
Rice,637.6,22.6,78.3,63.0,3.39,3.3
Wheat,893.6,19.9,97.4,156.7,2.09,3.27
Wheat,666.6,23.6,91.8,88.4,3.69,3.25
Soybean,499.3,28.5,91.3,95.4,3.06,2.86
Rice,543.0,15.0,93.2,114.2,3.91,1.0
Rice,383.5,18.0,97.3,60.3,4.41,2.3
Rice,490.1,20.3,42.8,123.0,3.23,2.67
Soybean,585.6,29.8,77.7,148.9,4.36,1.86
Wheat,794.6,25.1,41.4,125.3,0.5,3.36
Wheat,959.7,27.1,85.7,59.4,4.91,3.32
Rice,401.2,19.4,84.9,110.7,3.45,2.87
Rice,720.7,19.5,105.9,141.0,4.29,3.71
Maize,462.7,25.8,108.8,49.3,1.54,2.44
Rice,735.4,24.2,89.1,77.4,2.0,3.65
Rice,626.4,26.2,75.0,145.7,3.18,3.29
Soybean,320.4,23.2,94.7,124.5,2.98,3.47
Wheat,817.1,25.1,74.4,129.4,3.34,3.42
Maize,541.1,24.6,85.0,180.1,4.3,4.17
Maize,553.9,27.1,104.7,131.4,0.88,3.26
Rice,457.4,27.2,73.8,138.0,4.17,2.64
Soybean,532.2,17.5,101.1,200.0,3.01,2.06
Rice,727.0,15.0,98.5,107.5,2.76,1.0
Soybean,615.9,28.0,65.9,87.1,1.23,2.18
Rice,709.2,28.8,104.5,130.0,3.6,3.33
Maize,715.1,19.9,99.0,130.4,0.5,2.84
Maize,887.7,16.6,87.0,96.6,3.78,1.23
Soybean,588.3,24.4,69.8,78.9,1.21,2.99
Rice,384.2,27.7,67.8,195.8,3.06,2.35
Rice,842.1,31.2,74.2,126.4,2.86,1.99
Wheat,590.3,26.1,95.9,89.4,4.4,3.07
